Participant ID	OpenNeuroID	1. Age	2. Sex	3. Education	6a. Country of residence	6b. Country of origin	5.1 Native lanaguage: Language 1	5.1 Age of starting using language 1 in listening	5.1 Age of starting using language 1 in speaking	5.1 Age of starting using language 1 in reading	5.1 Age of starting using language 1 in writing	5.1 Years of using language 1	5.2 Language 2	5.2 Age of starting using language 2 in listening	5.2 Age of starting using language 2 in speaking	5.2 Age of starting using language 2 in reading	5.2 Age of starting using language 2 in writing	5.2 Years of using language 2	5.3 Language 3	5.3 Age of starting using language 3 in listening	5.3 Age of starting using language 3 in speaking	5.3 Age of starting using language 3 in reading	5.3 Age of starting using language 3 in writing	5.3 Years of using language 3	5.4 Language 4	5.4 Age of starting using language 4 in listening	5.4 Age of starting using language 4 in speaking	5.4 Age of starting using language 4 in reading	5.4 Age of starting using language 4 in writing	5.4 Years of using language 4	10. Rating for language leanring skills (7-point Likert scale from [very poor] to [excellent])	11.1 [Rating for current ability] Language 1	11.1 Listening (7-point Likert scale from [very poor] to [native-like])	11.1 Speaking (7-point Likert scale from [very poor] to [native-like])	11.1 Reading (7-point Likert scale from [very poor] to [native-like])	11.1 Writing (7-point Likert scale from [very poor] to [native-like])	11.2 [Rating for current ability] Language 2	11.2 Listening (7-point Likert scale from [very poor] to [native-like])	11.2 Speaking (7-point Likert scale from [very poor] to [native-like])	11.2 Reading (7-point Likert scale from [very poor] to [native-like])	11.2 Writing (7-point Likert scale from [very poor] to [native-like])	11.3 [Rating for current ability] Language 3	11.3 Listening (7-point Likert scale from [very poor] to [native-like])	11.3 Speaking (7-point Likert scale from [very poor] to [native-like])	11.3 Reading (7-point Likert scale from [very poor] to [native-like])	11.3 Writing (7-point Likert scale from [very poor] to [native-like])	11.4 [Rating for current ability] Language 4	11.4 Listening (7-point Likert scale from [very poor] to [native-like])	11.4 Speaking (7-point Likert scale from [very poor] to [native-like])	11.4 Reading (7-point Likert scale from [very poor] to [native-like])	11.4 Writing (7-point Likert scale from [very poor] to [native-like])	13.1 [Rating for the strength of accent] Language 1	13.1 Accent (7-point scale ranging from [none] to [extreme])	13.2 [Rating for the strength of accent] Language 2	13.2 Accent (7-point scale ranging from [none] to [extreme])	13.3 [Rating for the strength of accent] Language 3	13.3 Accent (7-point scale ranging from [none] to [extreme])	13.4 [Rating for the strength of accent] Language 4	13.4 Accent (7-point scale ranging from [none] to [extreme])	19.1 Language 1 which your friends also speak	19.1 Percentage of friends	19.2 Language 2 which your friends also speak	19.2 Percentage of friends	19.3 Language 3 which your friends also speak	19.3 Percentage of friends	19.4 Language 4 which your friends also speak	19.4 Percentage of friends
2101	1	23	F	 BA/BS	China	China	English	6	6	6	6	17	Spanish	20	20	20	20	3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	5	English	5	5	5	5	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	English	2	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
2102	2	31	F	MA	Australia	China	Chinese (Simplified)	n/a	3	3	3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	4	English	6	6	6	5	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	English	2	n/a	n/a	n/a	n/a	n/a	n/a	English	80	Chinese (Simplified)	80	n/a	n/a	n/a	n/a
2003	3	20	F	 BA/BS	China	China	English	9	9	9	9	10	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	4	Chinese (Simplified)	7	7	7	7	English	3	4	4	4	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	English	4	n/a	n/a	n/a	n/a	n/a	n/a	Chinese (Simplified)	100	n/a	n/a	n/a	n/a	n/a	n/a
2104	4	30	M	 BA/BS	China	China	Chinese (Simplified)	n/a	5	5	5	25	English	n/a	10	10	10	20	French	n/a	25	25	25	2	n/a	n/a	n/a	n/a	n/a	n/a	5	Chinese (Simplified)	7	7	6	6	English	6	7	6	5	French	1	3	3	1	n/a	n/a	n/a	n/a	n/a	English	2	French	4	n/a	n/a	n/a	n/a	English	60	n/a	n/a	n/a	n/a	n/a	n/a
2005	5	29	F	 BA/BS	China	China	English	n/a	7	7	7	11	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	6	English	6	6	6	6	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	English	2	n/a	n/a	n/a	n/a	n/a	n/a	Chinese (Simplified)	30	English	70	n/a	n/a	n/a	n/a
2006	6	33	M	 BA/BS	Hong Kong	China	Chinese (Simplified)	n/a	27	27	27	6	English	n/a	5	5	5	20	Chinese (Traditional)	n/a	2	2	2	11	n/a	n/a	n/a	n/a	n/a	n/a	4	Chinese (Traditional)	7	7	5	3	English	7	7	7	7	Chinese (Simplified)	5	5	5	3	n/a	n/a	n/a	n/a	n/a	Chinese (Simplified)	4	n/a	n/a	n/a	n/a	n/a	n/a	Chinese (Traditional)	40	English	40	Chinese (Simplified)	20	n/a	n/a
2007	7	26	F	MA	China	China	English	n/a	9	9	9	10	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	6	English	5	5	5	2	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	English	4	n/a	n/a	n/a	n/a	n/a	n/a	English	70	n/a	n/a	n/a	n/a	n/a	n/a
2008	8	25	F	MA	China	China	Chinese (Simplified)	n/a	1	1	1	25	English	n/a	12	12	12	13	Japanese	n/a	19	19	19	2	French	n/a	24	24	24	1	5	Chinese (Simplified)	7	7	7	7	English	5	5	5	6	Japanese	3	3	5	4	French	1	1	3	2	English	2	Japanese	2	French	4	n/a	n/a	Chinese (Simplified)	80	Japanese	6	English	10	French	4
2009	9	23	F	MA	China	China	Chinese (Simplified)	n/a	1	5	5	23	English	n/a	8	8	8	15	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	5	Chinese (Simplified)	7	7	7	7	English	4	4	5	4	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	English	3	n/a	n/a	n/a	n/a	n/a	n/a	Chinese (Simplified)	100	n/a	n/a	n/a	n/a	n/a	n/a
2010	10	31	F	MA	China	China	Chinese (Simplified)	n/a	7	7	7	24	English	n/a	16	16	16	15	French	n/a	22	22	22	2	German	n/a	28	28	28	1	5	Chinese (Simplified)	7	7	7	7	English	5	6	6	6	French	2	2	2	2	German	2	2	2	2	Chinese (Simplified)	1	English	2	n/a	n/a	n/a	n/a	Chinese (Simplified)	100	English	40	German	5	n/a	n/a
2011	11	21	M	 BA/BS	China	China	Chinese (Simplified)	n/a	3	3	3	18	English	n/a	6	6	8	15	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	6	Chinese (Simplified)	7	7	7	7	English	5	6	5	6	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	English	1	n/a	n/a	n/a	n/a	n/a	n/a	Chinese (Simplified)	100	English	25	n/a	n/a	n/a	n/a
2012	12	24	F	 BA/BS	China	China	Chinese (Simplified)	n/a	1	5	5	23	English	n/a	10	10	10	13	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	4	Chinese (Simplified)	7	7	7	7	English	4	2	5	2	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	English	5	n/a	n/a	n/a	n/a	n/a	n/a	Chinese (Simplified)	95	English	5	n/a	n/a	n/a	n/a
2013	13	19	F	 BA/BS	China	China	Chinese (Simplified)	n/a	1	1	3	18	English	n/a	5	6	6	13	Spanish	n/a	16	15	18	4	n/a	n/a	n/a	n/a	n/a	n/a	6	Chinese (Simplified)	7	7	7	7	English	7	7	7	5	Spanish	3	3	3	3	n/a	n/a	n/a	n/a	n/a	English	2	n/a	n/a	n/a	n/a	n/a	n/a	Chinese (Simplified)	85	English	15	n/a	n/a	n/a	n/a
2014	14	23	F	MA	China	China	Chinese (Simplified)	n/a	2	5	5	21	English	n/a	10	10	10	13	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	6	Chinese (Simplified)	6	5	6	6	English	5	5	5	5	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	English	3	n/a	n/a	n/a	n/a	n/a	n/a	Chinese (Simplified)	95	English	5	n/a	n/a	n/a	n/a
2015	15	25	F	 BA/BS	China	China	Chinese (Simplified)	n/a	2	3	6	23	English	n/a	9	9	9	14	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	4	Chinese (Simplified)	6	7	7	5	English	4	2	5	4	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	Chinese (Simplified)	3	English	2	n/a	n/a	n/a	n/a	Chinese (Simplified)	99	English	1	n/a	n/a	n/a	n/a
2016	16	23	F	 BA/BS	China	China	Chinese (Simplified)	n/a	2	4	5	23	English	n/a	11	12	12	11	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	4	Chinese (Simplified)	7	5	7	7	English	3	2	2	2	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	Chinese (Simplified)	1	English	3	n/a	n/a	n/a	n/a	Chinese (Simplified)	100	n/a	n/a	n/a	n/a	n/a	n/a
2017	17	38	M	 BA/BS	China	Hong Kong	Chinese (Traditional)	n/a	1	3	3	37	English	n/a	1	4	4	37	Chinese (Simplified)	n/a	6	n/a	n/a	31	French	n/a	14	14	14	4	7	Chinese (Traditional)	7	7	6	6	English	7	7	7	7	Chinese (Simplified)	6	6	6	6	French	4	4	5	4	English	1	Chinese (Simplified)	2	French	4	n/a	n/a	Chinese (Traditional)	20	Chinese (Simplified)	60	English	20	n/a	n/a
2218	18	25	F	MA	China	China	Chinese (Simplified)	n/a	n/a	n/a	n/a	n/a	English	n/a	9	9	9	16	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	5	n/a	5	4	5	4	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	English	3	n/a	n/a	n/a	n/a	n/a	n/a	Chinese (Simplified)	100	English	60	n/a	n/a	n/a	n/a
2019	19	19	F	 BA/BS	China	China	Chinese (Simplified)	n/a	2	2	3	19	English	n/a	8	8	9	10	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	5	Chinese (Simplified)	7	7	7	7	English	3	4	4	5	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	English	4	n/a	n/a	n/a	n/a	n/a	n/a	Chinese (Simplified)	98	English	2	n/a	n/a	n/a	n/a
2020	20	24	M	 BA/BS	China	China	Chinese (Simplified)	n/a	1	4	5	24	English	n/a	12	12	12	12	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	5	Chinese (Simplified)	7	7	7	7	English	4	4	5	4	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	English	4	n/a	n/a	n/a	n/a	n/a	n/a	Chinese (Simplified)	80	English	20	n/a	n/a	n/a	n/a
2021	21	23	F	 BA/BS	China	China	Chinese (Simplified)	n/a		n/a	n/a		English	n/a	10	10	12	11	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	5	English	4	3	4	4	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	English	2	n/a	n/a	n/a	n/a	n/a	n/a	Chinese (Simplified)	90	English	60	n/a	n/a	n/a	n/a
2022	22	24	F	 BA/BS	China	China	English	n/a	7	7	7	14		n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	4	English	4	4	4	4	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	English	4	n/a	n/a	n/a	n/a	n/a	n/a	English	70	n/a	n/a	n/a	n/a	n/a	n/a
2123	23	24	F	 BA/BS	China	China	Chinese (Simplified)	n/a	n/a	n/a	n/a		English	n/a	8	8	12	16	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	4	English	4	3	5	3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	English	3	n/a	n/a	n/a	n/a	n/a	n/a	Chinese (Simplified)	95	English	5	n/a	n/a	n/a	n/a
